Entity;Relation;Domain;Range;Value
stanley_cup;awardtrophytournamentisthechampionshipgameofthenationalsport;sport;sport;hockey
televisionshows;televisionshowssuchastelevisionshows;televisionshow;televisionshow;money
aeneid;bookwriter;book;writer;vergil
aeneid;bookwriter;book;writer;vergil
judo;sportfansincountry;sport;country;japan
joe002;persongraduatedfromuniversity;person;university;college
dogs;animaldevelopdisease;mammal;disease;arthritis
dogs;animaldevelopdisease;mammal;disease;cataract
dogs;animaldevelopdisease;mammal;disease;cardiomyopathy
boundary_peak;mountaininstate;mountain;stateorprovince;nevada
n5_18;timeofearthquake;earthquakeevent;earthquakeevent;big_earthquake_shakes_tokyo__17_injured
n5_18;timeofearthquake;time;earthquakeevent;big_earthquake_shakes_tokyo__17_injured
j__k__rowling;agentcontributedtocreativework;book;book;harry_potter_and_the_chamber_of_secrets
a_brief_history_of_time;bookwriter;book;scientist;stephen_hawking
dortmund;citylocatedincountry;city;country;germany
n12_24;timeofearthquake;time;earthquakeevent;n4_5_magnitude_quake_rattles_sonoma_county
microsoft;producesproduct;company;product;microsoft_exchange
winona;citylocatedinstate;city;stateorprovince;minnesota
trees;plantincludeplant;plant;plant;almond
catfish;fishservedwithfood;fish;bakedgood;sauce
catfish;fishservedwithfood;fish;beverage;sauce
catfish;fishservedwithfood;fish;condiment;sauce
amazonas;statehascapital;city;city;manaus
humans;animaldevelopdisease;disease;disease;acne
states;stateorprovinceisborderedbystateorprovince;stateorprovince;stateorprovince;new_york
suva;citycapitalofcountry;city;country;fiji
n2003_alcs;sportsgamesport;sportsgame;sport;baseball
higgins_lake;lakeinstate;lake;stateorprovince;michigan
football;sportschoolincountry;sport;country;peru
english;languageofcountry;language;country;tanzania
birds;animaleatvegetable;animal;vegetable;corn
water;thinghascolor;visualizablething;color;emerald
dark;colorassociatedwithvisualizableattribute;color;weatherphenomenon;fog
dark;colorassociatedwithvisualizableattribute;color;weatherphenomenon;fog
weeds;plantincludeplant;plant;plant;nettles
engineering;academicprogramatuniversity;academicfield;university;stanford
greece;countrycurrency;country;currency;euros
n2_46_pm;timeofearthquake;earthquakeevent;earthquakeevent;n2011_t_hoku_earthquake_and_tsunami
belgium;countryalsoknownas;country;country;republic
count_of_monte_cristo;bookwriter;book;writer;alexandre_dumas
hamburg;cityliesonriver;city;river;elbe
action_games;videogamessuchasvideogames;videogame;videogame;assassin_s_creed_2
action_games;videogamessuchasvideogames;videogame;videogame;assassin_s_creed_2
malaga;citylocatedingeopoliticallocation;city;geopoliticallocation;spain
championships;awardtrophytournamentisthechampionshipgameofthenationalsport;sport;sport;golf
medication;drugexpectedreleasedate;drug;date;n1996
action_movies;moviessuchasmovies;movie;movie;die_hard
action_movies;moviessuchasmovies;movie;movie;die_hard
mice;animaldevelopdisease;disease;disease;diabetes
nier;haswikipediaurl;videogame;http;//en.wikipedia.org/wiki/Nier%20(video%20game)
science;academicfieldsuchasacademicfield;academicfield;academicfield;anthropology
pine;plantincludeplant;plant;plant;tress
trees;plantincludeplant;plant;plant;mature_oaks
a_world_of_love;bookwriter;writer;writer;elizabeth_bowen
the_death_of_the_heart;bookwriter;writer;writer;elizabeth_bowen
the_heat_of_the_day;bookwriter;writer;writer;elizabeth_bowen
the_house_in_paris;bookwriter;writer;writer;elizabeth_bowen
baseball;sportusesstadium;sport;stadiumoreventvenue;fenway
abensberg;haswikipediaurl;city;http;//en.wikipedia.org/wiki/Abensberg
engineering;academicprogramatuniversity;university;university;uc_berkeley
artificial_intelligence;mlareaexpert;mlarea;mlauthor;stuart_russell
marrakesh;citycapitalofcountry;city;country;morocco
marrakesh;citycapitalofcountry;city;country;morocco
n2012_super_bowl;teamplaysinleague;sportsteam;sportsleague;nfl
pigs;animaleatvegetable;agriculturalproduct;vegetable;corn
pigs;animaleatvegetable;agriculturalproduct;vegetable;corn
pigs;animaleatvegetable;agriculturalproduct;vegetable;corn
pigs;animalistypeofanimal;agriculturalproduct;mammal;animals
pigs;animalistypeofanimal;agriculturalproduct;mammal;animals
pigs;animalistypeofanimal;agriculturalproduct;mammal;animals
germany;teamplayssport;sportsteam;sport;golf
west_bengal;statehascapital;city;city;calcutta
flowers;plantrepresentemotion;emotion;emotion;love
muktinath;placeofworshippracticesreligion;religion;religion;hinduism
muktinath;placeofworshippracticesreligion;religion;religion;hinduism
biology;academicfieldconcernssubject;mlarea;mlarea;bioinformatics
cats;animaldevelopdisease;disease;disease;breast_cancer
already_dead;bookwriter;book;writer;charlie_huston
abakan;citylocatedingeopoliticallocation;city;country;russia
algiers;citycapitalofcountry;country;country;algeria
algiers;citylocatedincountry;country;country;algeria
football;sportusesequipment;sportsequipment;sportsequipment;football
taipei;citylocatedincountry;country;country;taiwan
pulmonary_consolidation;haswikipediaurl;disease;http;//en.wikipedia.org/wiki/Pulmonary%20consolidation
depression;emotionassociatedwithdisease;disease;disease;symptom
barcelona_international_airport;airportincity;transportation;city;barcelona
zen_and_the_art_of_motorcycle_maintenance;bookwriter;book;writer;robert_pirsig
microsoft;companyeconomicsector;economicsector;economicsector;computer_software
damascus;citycapitalofcountry;city;country;syria
honeybees;animaleatfood;animal;food;nectar
athletic_conference;sportsgamescore;sportsgame;gamescore;02-Apr
nba_championship;awardtrophytournamentisthechampionshipgameofthenationalsport;sport;sport;basketball
nba_finals;awardtrophytournamentisthechampionshipgameofthenationalsport;sport;sport;basketball
titles;awardtrophytournamentisthechampionshipgameofthenationalsport;sport;sport;basketball
championships;awardtrophytournamentisthechampionshipgameofthenationalsport;sport;sport;basketball
spider;arthropodcalledarthropod;arachnid;arachnid;black_widow_spider
eurostar;attractionofcity;attraction;city;paris
n1955_world_series;sportsgamesport;sportsgame;sport;baseball
pakistan;countrycurrency;currency;currency;rupees
georg_gottlob;haswikipediaurl;mlauthor;http;//en.wikipedia.org/wiki/Georg%20Gottlob
mumbai;cityalsoknownas;city;city;bombay
donald_trump;worksfor;personus;company;trump_organization
call_of_duty_3;haswikipediaurl;videogame;http;//en.wikipedia.org/wiki/Call%20of%20Duty%203
mass_effect_2;haswikipediaurl;videogame;http;//en.wikipedia.org/wiki/Mass%20Effect%202
super_mario_galaxy_2;haswikipediaurl;videogame;http;//en.wikipedia.org/wiki/Super%20Mario%20Galaxy%202
silent_hill_2;haswikipediaurl;videogame;http;//en.wikipedia.org/wiki/Silent%20Hill%202
leonardo_dicaprio;hasspouse;person;athlete;bar_refaeli
leonardo_dicaprio;hasspouse;person;athlete;bar_refaeli
english;languageofuniversity;language;university;new_york_university
beijing;cityalsoknownas;city;city;peking
beijing;cityalsoknownas;city;city;peking
games;sportsgameteam;sportsgame;sportsteam;cleveland_indians
